sp;type;y'(seq.);y(ind.);indTot;t (days);radioT(m);angT(rad);tr;tr_se;act;act_se;s(km/day);s_se(km/day);r(m);r_se(m);ang(rad);ang_se(rad);d(ind/km2);d_se(ind/km2);effort;distr
damdam;clustrand4;3249;4812;5200;5968;18.18206491;0.39269925;0.806300268;0.240743773;0.552230847;0.028942109;7.260825366;0.549941042;8.802913528;0.16816615;0.785398499;7.09E-05;14.22810012;3.266905729;1.75;not patched
damdam;lax;3145;4923;5692;7655;21.16987275;0.39269925;0.643109079;0.086006212;0.630094905;0.024504632;9.6430733;0.428474354;8.74249884;0.165682253;0.785398499;0.000979629;8.60391527;1.152501863;2.53;not patched
damdam;laxrand3;1493;2241;2504;3192;20.25663048;0.39269925;0.702067669;0.110367989;0.545759659;0.032374593;8.007490664;0.567286607;8.683485431;0.220743552;0.785398499;0.000491512;11.38809256;2.064836162;0.98;not patched
damdam;laxrand4;2274;3465;3970;5822;20.07119486;0.39269925;0.595156304;0.072150935;0.611967006;0.02771819;9.985017685;0.539882429;8.439033391;0.187954418;0.785398499;0.000682971;7.966215114;1.103980983;1.75;not patched
damdam;laxsist3;1574;2635;3095;3209;20.41864819;0.39269925;0.821128077;0.164875527;0.597560324;0.037583745;7.765778031;0.511146584;9.192613494;0.220791115;0.785398499;0.000102145;12.97327023;2.746372529;0.98;not patched
damdam;laxsist4;2317;3717;4376;5738;21.39741218;0.39269925;0.647786685;0.096327151;0.643915811;0.030890757;8.753310632;0.462928454;8.763927013;0.19956352;0.785398499;0.001321801;9.524089323;1.630438676;1.75;not patched
lepgra;clust3x1_1;299;304;315;3279;23.47938912;0.39269925;0.092711192;0.022098639;0.313782217;0.037263767;22.82231593;3.105847117;9.805926677;0.354354094;0.500842189;0.034622676;0.491310121;0.138926968;0.98;not patched
lepgra;clust3x1_2;359;368;382;3411;16.91430496;0.39269925;0.10788625;0.019429336;0.313889554;0.037669841;15.3244697;2.2825722;8.944904265;0.384657941;0.572969222;0.065877114;0.916599312;0.218207118;0.98;not patched
lepgra;clust3x1_3;484;496;547;3322;20.84977384;0.39269925;0.149307646;0.033086052;0.323425791;0.036791575;6.393404116;0.969125333;10.22143538;0.411562762;0.457039824;0.022180155;2.921296793;0.802252809;0.98;not patched
lepgra;clust4;1001;1024;1104;5983;17.55719623;0.39269925;0.171151596;0.023370545;0.31747645;0.024732882;7.39203477;0.71868703;9.70270736;0.254137177;0.488078932;0.015920891;2.96305186;0.539478008;1.75;not patched
lepgra;clust5;1267;1294;1388;9032;16.60312152;0.39269925;0.143268379;0.017911874;0.309035836;0.021608309;7.566801192;0.683412141;9.570114351;0.185408168;0.502383411;0.015424181;2.451170595;0.400732209;2.53;not patched
lepgra;clustrand3;404;410;428;3327;14.86330132;0.39269925;0.123234145;0.028829666;0.310619249;0.035222621;11.58356993;1.791901987;9.834929883;0.362876702;0.520129535;0.031471357;1.348479571;0.398112644;0.98;not patched
lepgra;clustrand4;888;913;978;5968;16.39713402;0.39269925;0.152982574;0.02247563;0.341155928;0.02492282;10.71634543;1.105292623;9.973392395;0.223855293;0.496013052;0.017456017;1.801587555;0.350078981;1.75;not patched
lepgra;lax;781;805;862;7655;15.53114911;0.39269925;0.105160026;0.015951194;0.372603393;0.025743797;7.503901165;0.818248312;8.924138961;0.199296306;0.548970233;0.021776129;1.935451821;0.348720278;2.53;not patched
lepgra;laxrand3;294;305;330;3192;12.57780755;0.39269925;0.095551378;0.02079819;0.431081048;0.028614987;9.254976743;1.182435337;8.353982699;0.339047811;0.566420964;0.035824388;1.512829665;0.412931668;0.98;not patched
lepgra;laxrand4;622;642;688;5822;14.92590433;0.39269925;0.110271384;0.017406967;0.392577374;0.027284942;6.925614997;0.742936875;8.638690971;0.23116136;0.546797945;0.02399582;2.273588822;0.450439214;1.75;not patched
lepgra;laxsist3;293;301;318;3209;14.89837087;0.39269925;0.093798691;0.02140535;0.355061232;0.036534513;6.430541152;1.389158285;8.394968674;1.020665743;0.533830857;0.035242505;2.154281385;0.745722672;0.98;not patched
lepgra;laxsist4;625;643;687;5738;16.46217495;0.39269925;0.112059951;0.018923955;0.402617395;0.028926464;8.284556709;0.99533072;8.7385877;0.221075666;0.546007929;0.024751861;1.909985304;0.380636401;1.75;not patched
marfoi;clust3x1_1;43;43;45;3279;22.60239595;0.39269925;0.013113754;0.003493899;0.367599748;0.058526324;24.23542204;4.484694474;7.287357364;1.532558829;0.408592965;0.061337271;0.094596197;0.036387213;0.98;patched
marfoi;clust3x1_2;36;36;38;3411;23.93136792;0.39269925;0.01055409;0.002929245;0.29601953;0.062483834;24.69526539;6.772829348;8.722449843;1.657471861;0.474536166;0.080665102;0.060476996;0.026195766;0.98;patched
marfoi;clust3x1_3;37;37;39;3322;13.585343;0.39269925;0.011137869;0.002567969;0.365414552;0.056872176;27.4897165;4.347967801;7.698490072;1.008805683;0.38902458;0.058283823;0.069207878;0.021941166;0.98;patched
marfoi;clust5;106;106;111;9032;16.64853009;0.39269925;0.01173605;0.001865904;0.322300977;0.038226797;27.29839852;3.478243083;8.078881622;0.499059291;0.480055068;0.05208746;0.06677371;0.01401886;2.53;patched
marfoi;clustrand3;43;43;46;3327;18.49914004;0.39269925;0.012924557;0.00358084;0.341248954;0.061097514;24.29994434;4.456807875;9.435459108;1.293394718;0.477378324;0.079215242;0.071483347;0.027332116;0.98;patched
marfoi;clustrand4;65;65;69;5968;16.68622276;0.39269925;0.010891421;0.002287148;0.366416375;0.046568911;29.00084412;4.276663253;9.092388912;0.964992945;0.535156152;0.079904587;0.051184806;0.014200776;1.75;patched
marfoi;lax;193;193;203;7655;12.0149854;0.39269925;0.02521228;0.006068485;0.35964383;0.031762672;19.2510792;2.531484881;7.814495889;0.285458259;0.592394914;0.048223408;0.203097594;0.05394175;2.53;patched
